Account,Opportunity_ID,Sales_Agent,Deal_Stage,Product,Created_Date,Close_Date,Close_Value
Plusstrip,557JX4BM,Hayden Neloms,Won,GTX Plus Basic,6/23/17,9/12/17,1099
Labdrill,QPZFP9WT,Kary Hendrixson,Lost,GTXPro,6/23/17,7/4/17,0
Condax,L5T284M7,Lajuana Vencill,Lost,MG Advanced,6/23/17,7/3/17,0
Konmatfix,G17TENJ4,Marty Freudenburg,Lost,MG Advanced,6/23/17,9/22/17,0
Condax,VRSTX620,Niesha Huffines,Won,GTX Plus Basic,6/23/17,7/2/17,932
Silis,Y9VWZ93C,Reed Clapper,Lost,GTX Basic,6/23/17,7/1/17,0
Donquadtech,Y6IIUECA,Reed Clapper,Won,GTX Plus Basic,6/23/17,7/4/17,880
Ganjaflex,LXWQDEU3,Reed Clapper,Won,GTXPro,6/23/17,9/18/17,4801
Konex,P1E4KWF7,Rosie Papadopoulos,Won,MG Special,6/23/17,7/1/17,59
Finhigh,BN84DD6H,Versie Hillebrand,Lost,MG Special,6/23/17,7/5/17,0
Ron-tech,R8MZ10BW,Versie Hillebrand,Won,MG Special,6/23/17,9/29/17,52
Stanredtax,PI8RROK0,Versie Hillebrand,Won,MG Advanced,6/23/17,9/21/17,2949
Doncon,GID40O2B,Vicki Laflamme,Lost,GTXPro,6/23/17,7/6/17,0
Betasoloin,BJOY31DL,Violet Mclelland,In Progress,MG Special,6/23/17,,
Konex,KDRIBXNQ,Violet Mclelland,Won,MG Special,6/23/17,8/15/17,50
Plussunin,TCK6V290,Violet Mclelland,Won,MG Advanced,6/23/17,6/30/17,3863
Kan-code,O9WYT5ST,Zane Levy,In Progress,GTXPro,6/23/17,,
Golddex,VFZ5GB3W,Zane Levy,Lost,GTX Basic,6/23/17,7/4/17,0
Stanredtax,UKSS5YPE,Anna Snelling,Won,MG Special,6/24/17,7/2/17,64
,EBLSL27F,Boris Faz,In Progress,GTX Plus Pro,6/24/17,,
,13FIM9V3,Corliss Cosme,In Progress,GTXPro,6/24/17,,
Umbrella Corporation,RDDUG8VD,Corliss Cosme,Lost,GTX Plus Basic,6/24/17,7/3/17,0
Kinnamplus,Z3QJESWJ,Corliss Cosme,Won,GTX Plus Pro,6/24/17,8/22/17,5038
Zotware,PYIQ65W0,Corliss Cosme,Won,GTXPro,6/24/17,7/2/17,5088
Statholdings,RGRUF328,Gladys Colclough,Won,MG Special,6/24/17,8/14/17,48
Dalttechnology,TLSSOOVB,Hayden Neloms,Lost,GTX Plus Basic,6/24/17,7/4/17,0
Betasoloin,74KGIZW4,Kary Hendrixson,In Progress,GTXPro,6/24/17,,
Green-Plus,2YBEN3MV,Kary Hendrixson,Lost,GTX Plus Basic,6/24/17,9/8/17,0
Lexiqvolax,EFA9E6WV,Kary Hendrixson,Won,GTX Plus Pro,6/24/17,9/30/17,5056
Blackzim,YTSX7IW3,Markita Hansen,Won,MG Special,6/24/17,7/2/17,59
Cheers,86DMJ7GA,Maureen Marcano,Lost,GTX Plus Basic,6/24/17,8/20/17,0
Faxquote,CMD0758L,Maureen Marcano,Won,GTX Basic,6/24/17,8/21/17,562
Codehow,CM5MFWCO,Moses Frase,Won,MG Special,6/24/17,9/10/17,63
Betatech,0MNAGD91,Moses Frase,Won,MG Advanced,6/24/17,7/5/17,3355
,HSYU33MS,Vicki Laflamme,In Progress,MG Special,6/24/17,,
Bluth Company,9S749GJD,Violet Mclelland,Lost,MG Advanced,6/24/17,7/5/17,0
Massive Dynamic,LBZY9VUG,Violet Mclelland,Won,MG Special,6/24/17,9/17/17,55
Newex,6UUTR15S,Zane Levy,Won,GTX Plus Pro,6/24/17,9/23/17,4059
Bubba Gump,DVPYKS4A,Cassey Cress,Lost,MG Advanced,6/25/17,7/4/17,0
Codehow,9SRU5CI6,Cecily Lampkin,Won,GTX Plus Basic,6/25/17,8/9/17,1128
,Z6R4KJFU,Daniell Hammack,In Progress,GTXPro,6/25/17,,
Conecom,GZ5M7MIQ,Darcel Schlecht,Lost,GTX Plus Basic,6/25/17,7/1/17,0
Ron-tech,CM2GVLV6,Darcel Schlecht,Won,GTX Plus Pro,6/25/17,7/8/17,5536
Genco Pura Olive Oil Company,NZB45UZX,Darcel Schlecht,Won,GTXPro,6/25/17,9/3/17,4964
Domzoom,T2J83GFD,Darcel Schlecht,Won,MG Special,6/25/17,7/3/17,54
Ron-tech,28S2Z15A,Darcel Schlecht,Won,MG Special,6/25/17,8/2/17,56
Vehement Capital Partners,WOJBLO4B,Donn Cantrell,Lost,GTX Plus Pro,6/25/17,7/2/17,0
Gekko & Co,788SW6EX,Donn Cantrell,Lost,GTXPro,6/25/17,8/19/17,0
Zotware,EUOA0E47,Donn Cantrell,Won,MG Advanced,6/25/17,7/5/17,3423
J-Texon,S9ZUMLSY,Elease Gluck,Lost,MG Special,6/25/17,9/13/17,0
Umbrella Corporation,0UCQUW6U,Garret Kinder,Lost,MG Advanced,6/25/17,7/7/17,0
Cancity,07FRJ44N,Gladys Colclough,Lost,GTX Plus Pro,6/25/17,7/3/17,0
Rangreen,NMN9DVEV,Gladys Colclough,Won,GTX Plus Basic,6/25/17,9/14/17,1102
Goodsilron,95V8BLR2,Kami Bicknell,Won,GTX Basic,6/25/17,9/22/17,519
Hatfan,BDGB4NS0,Kary Hendrixson,Lost,GTX Plus Pro,6/25/17,7/2/17,0
Hatfan,SPHS260Y,Kary Hendrixson,Lost,MG Special,6/25/17,8/27/17,0
Isdom,O9L7KMPU,Lajuana Vencill,Lost,GTX Plus Basic,6/25/17,8/27/17,0
Bioholding,FGES2PQ2,Lajuana Vencill,Lost,MG Advanced,6/25/17,7/4/17,0
Isdom,81DXTTI5,Lajuana Vencill,Won,GTX Plus Pro,6/25/17,7/3/17,5536
Betatech,JGG9CO2Y,Marty Freudenburg,Lost,GTX Plus Pro,6/25/17,8/14/17,0
Warephase,95B6AKI1,Marty Freudenburg,Won,GTX Plus Basic,6/25/17,7/2/17,839
Dalttechnology,N1G2CFCB,Maureen Marcano,Won,GTX Basic,6/25/17,9/6/17,500
Rangreen,40VSPND6,Moses Frase,Won,MG Advanced,6/25/17,9/24/17,3679
Treequote,QWYRCDA8,Niesha Huffines,Lost,GTX Plus Basic,6/25/17,7/5/17,0
Plussunin,00ZD3M4J,Reed Clapper,Lost,GTXPro,6/25/17,7/4/17,0
,24REVMX7,Rosalina Dieter,In Progress,GTX Basic,6/25/17,,
Ron-tech,AW4PSTWR,Rosie Papadopoulos,In Progress,GTX Basic,6/25/17,,
Codehow,CJZFFC91,Versie Hillebrand,Lost,MG Special,6/25/17,8/7/17,0
,2FNTCPOU,Vicki Laflamme,In Progress,GTX Plus Pro,6/25/17,,
,A8QRKXG3,Vicki Laflamme,In Progress,GTXPro,6/25/17,,
Scotfind,3PD8YBPK,Vicki Laflamme,Lost,GTX Basic,6/25/17,7/4/17,0
Blackzim,KBG5R0WH,Vicki Laflamme,Lost,GTX Plus Pro,6/25/17,7/2/17,0
Goodsilron,7RPM84Y4,Vicki Laflamme,Won,MG Advanced,6/25/17,6/30/17,3815
Sunnamplex,LFN6XPK7,Vicki Laflamme,Won,MG Advanced,6/25/17,6/27/17,2753
,S2SC8AP7,Violet Mclelland,In Progress,MG Special,6/25/17,,
Xx-zobam,18LZY55R,Violet Mclelland,Won,MG Special,6/25/17,7/2/17,60
Kan-code,E88W1Z0H,Zane Levy,Lost,GTX Basic,6/25/17,7/2/17,0
Rantouch,UQALCAIV,Zane Levy,Won,GTX Plus Basic,6/25/17,7/3/17,1137
Yearin,6E2Y3HKI,Boris Faz,Won,GTX Plus Pro,6/26/17,7/4/17,5201
Mathtouch,YWKFH7VT,Cassey Cress,Lost,GTX Basic,6/26/17,9/27/17,0
Bluth Company,MF4299DQ,Cassey Cress,Lost,MG Advanced,6/26/17,7/3/17,0
Toughzap,ZRZI054E,Cecily Lampkin,Won,GTX Basic,6/26/17,7/6/17,612
Donquadtech,CN69EYQ1,Corliss Cosme,Won,GTX Plus Pro,6/26/17,9/11/17,4905
,ZT52DT8H,Daniell Hammack,In Progress,MG Advanced,6/26/17,,
The New York Inquirer,KX80WC22,Daniell Hammack,Lost,MG Special,6/26/17,7/7/17,0
Streethex,YQ6VELF1,Darcel Schlecht,Lost,GTXPro,6/26/17,7/3/17,0
Streethex,NX4ODZY2,Darcel Schlecht,Won,GTX Plus Basic,6/26/17,8/31/17,1028
Codehow,L2QMWU4H,Darcel Schlecht,Won,GTX Plus Pro,6/26/17,9/12/17,4430
Donquadtech,0MPEK4ZA,Donn Cantrell,Lost,GTX Plus Basic,6/26/17,9/18/17,0
Opentech,TP0SU68U,Donn Cantrell,Lost,GTX Plus Basic,6/26/17,7/9/17,0
Zathunicon,8U7LNL7U,Donn Cantrell,Lost,GTXPro,6/26/17,7/3/17,0
Bioplex,XVYL67FL,Donn Cantrell,Won,GTX Basic,6/26/17,7/6/17,541
Groovestreet,AIN2RE2H,Elease Gluck,Lost,GTXPro,6/26/17,7/5/17,0
Cancity,G1303HIC,Gladys Colclough,Won,GTXPro,6/26/17,7/2/17,5081
Rangreen,HVDQ4EEA,Gladys Colclough,Won,MG Advanced,6/26/17,6/28/17,3478
J-Texon,2RB900SL,James Ascencio,Won,GTXPro,6/26/17,9/15/17,5541
Cancity,AUS25SFH,Jonathan Berthelot,Won,GTX Basic,6/26/17,7/3/17,504
,ND0OV6MQ,Kary Hendrixson,In Progress,GTX Plus Basic,6/26/17,,
Bioholding,O6DSGX6P,Lajuana Vencill,Lost,GTX Basic,6/26/17,8/10/17,0
Dontechi,2MBFRRGW,Lajuana Vencill,Lost,GTX Basic,6/26/17,7/3/17,0
Golddex,Q3HYAWDW,Markita Hansen,Won,MG Advanced,6/26/17,8/24/17,3838
Scottech,94TA0AWF,Marty Freudenburg,Won,GTX Plus Pro,6/26/17,8/26/17,5217
Streethex,G1XX0IB4,Marty Freudenburg,Won,GTX Plus Pro,6/26/17,7/5/17,4181
Hatfan,VIMY08JH,Maureen Marcano,Won,GTX Basic,6/26/17,7/6/17,518
Streethex,WPTNE0QN,Moses Frase,Won,GTX Basic,6/26/17,9/17/17,533
Singletechno,DLGW8Y7B,Rosalina Dieter,Won,MG Advanced,6/26/17,8/3/17,3855
Plusstrip,YSOUU0T0,Vicki Laflamme,Lost,GTX Basic,6/26/17,7/7/17,0
Plussunin,23NAJF9W,Zane Levy,In Progress,GTXPro,6/26/17,,
Nam-zim,HM4TKVET,Zane Levy,Won,GTX Basic,6/26/17,7/4/17,617
Warephase,Q81Q0PJK,Anna Snelling,Won,GTX Plus Basic,6/27/17,7/6/17,991
Opentech,3BEPEWRS,Cassey Cress,Lost,GTXPro,6/27/17,8/24/17,0
Domzoom,Y5HR9J3G,Cecily Lampkin,Won,GTX Basic,6/27/17,8/1/17,513
Ganjaflex,STYLQ47K,Corliss Cosme,Won,GTX Plus Pro,6/27/17,7/7/17,5121
,HTF7TYQS,Daniell Hammack,In Progress,GTXPro,6/27/17,,
Kan-code,W07JMUG9,Daniell Hammack,Lost,MG Advanced,6/27/17,7/1/17,0
Condax,L8CG1IQO,Darcel Schlecht,Lost,GTX Basic,6/27/17,7/6/17,0
Zumgoity,6CFONO4W,Darcel Schlecht,Won,GTXPro,6/27/17,7/6/17,4635
Zotware,AMGC18DS,Donn Cantrell,Lost,GTX Plus Pro,6/27/17,9/8/17,0
Iselectrics,RKT3WVBC,Garret Kinder,Won,GTX Basic,6/27/17,9/20/17,470
Isdom,H5ZSM3IR,Gladys Colclough,Lost,MG Special,6/27/17,9/1/17,0
Treequote,07WKR17A,Gladys Colclough,Won,GTX Plus Pro,6/27/17,9/17/17,6193
Faxquote,7GM1XD9W,James Ascencio,Won,GTXPro,6/27/17,9/16/17,4277
Blackzim,QM6GJ78P,Kami Bicknell,Won,MG Special,6/27/17,7/7/17,59
Xx-holding,L582YMSV,Kary Hendrixson,Lost,GTXPro,6/27/17,9/8/17,0
Condax,EQS3UNXX,Markita Hansen,Lost,GTX Basic,6/27/17,7/6/17,0
Green-Plus,DZR5L7XQ,Markita Hansen,Lost,GTXPro,6/27/17,7/5/17,0
Globex Corporation,DQ0DSK7P,Marty Freudenburg,Won,GTX Plus Basic,6/27/17,7/2/17,1176
Finhigh,CGEXH2QO,Moses Frase,Lost,GTX Plus Pro,6/27/17,7/8/17,0
Statholdings,MIX6JTSN,Moses Frase,Won,GTX Basic,6/27/17,7/5/17,541
Domzoom,9KYX5G9K,Niesha Huffines,Won,GTX Plus Pro,6/27/17,7/1/17,4766
Iselectrics,FG29YOWT,Reed Clapper,Lost,MG Advanced,6/27/17,9/6/17,0
Vehement Capital Partners,KWYKKVJC,Reed Clapper,Won,GTXPro,6/27/17,7/1/17,4785
Rangreen,T7TDUK3T,Versie Hillebrand,Won,MG Advanced,6/27/17,9/12/17,3046
Ron-tech,42YPT5L7,Versie Hillebrand,Won,MG Advanced,6/27/17,7/4/17,3548
Rantouch,99I4V65G,Vicki Laflamme,Lost,MG Advanced,6/27/17,7/6/17,0
Rantouch,ACZQMAR4,Vicki Laflamme,Won,MG Advanced,6/27/17,7/7/17,3615
,R443AUAG,Violet Mclelland,In Progress,GTXPro,6/27/17,,
Genco Pura Olive Oil Company,TP9IE6PV,Anna Snelling,Won,GTX Basic,6/28/17,9/11/17,631
Kan-code,E5CD0W5M,Cassey Cress,Lost,GTX Basic,6/28/17,7/1/17,0
Hottechi,HKH717ED,Cecily Lampkin,Lost,GTX Basic,6/28/17,8/11/17,0
Genco Pura Olive Oil Company,DAW2JTP5,Cecily Lampkin,Lost,MG Special,6/28/17,7/7/17,0
Massive Dynamic,HBMOSBAK,Daniell Hammack,Lost,GTXPro,6/28/17,8/14/17,0
Condax,V0V6O05H,Darcel Schlecht,Lost,GTXPro,6/28/17,7/7/17,0
Stanredtax,3DY60YA7,Darcel Schlecht,Lost,GTXPro,6/28/17,7/6/17,0
Streethex,8H19L55Y,Darcel Schlecht,Won,GTXPro,6/28/17,7/7/17,4162
Toughzap,TPNU79C1,Darcel Schlecht,Won,MG Special,6/28/17,9/29/17,54
Iselectrics,TFQR150O,Donn Cantrell,Won,GTXPro,6/28/17,7/2/17,5064
Kan-code,9MM27P8C,Elease Gluck,Lost,MG Advanced,6/28/17,7/7/17,0
Konmatfix,MMWD47ZY,Gladys Colclough,Lost,GTX Plus Basic,6/28/17,8/29/17,0
Konmatfix,JFIBKWMQ,Gladys Colclough,Lost,MG Special,6/28/17,7/9/17,0
Conecom,6FUPOO3I,Gladys Colclough,Won,MG Advanced,6/28/17,7/7/17,3865
Konex,29VR6EL4,Hayden Neloms,Lost,MG Advanced,6/28/17,9/14/17,0
Plexzap,L45N3D2E,James Ascencio,Lost,GTXPro,6/28/17,7/4/17,0
Xx-holding,K1OBT27J,James Ascencio,Won,GTX Basic,6/28/17,8/10/17,553
Finhigh,OZL7CDMQ,Jonathan Berthelot,Lost,GTX Plus Basic,6/28/17,7/3/17,0
Dontechi,LZ6PSZ4T,Jonathan Berthelot,Lost,MG Advanced,6/28/17,7/5/17,0
Ron-tech,5CFCTZ5K,Jonathan Berthelot,Won,GTX Basic,6/28/17,9/2/17,501
J-Texon,EG5M02ZV,Kary Hendrixson,Won,GTX Basic,6/28/17,9/27/17,539
Singletechno,5UKQ16DK,Kary Hendrixson,Won,GTX Plus Basic,6/28/17,7/4/17,1028
Nam-zim,C9M5B1N6,Kary Hendrixson,Won,GTXPro,6/28/17,9/13/17,3951
Finhigh,ZS4PKX65,Lajuana Vencill,Won,GTX Basic,6/28/17,8/11/17,560
Goodsilron,PYLS9RJH,Markita Hansen,Lost,GTX Plus Pro,6/28/17,7/5/17,0
Betatech,X2ZONP2D,Moses Frase,Lost,GTX Plus Pro,6/28/17,8/24/17,0
Isdom,Y5CP83V4,Moses Frase,Won,GTX Basic,6/28/17,9/30/17,530
,V71FMJBD,Rosie Papadopoulos,In Progress,MG Advanced,6/28/17,,
Dontechi,9Y2HDGST,Versie Hillebrand,Won,GTX Basic,6/28/17,7/2/17,462
Blackzim,7R0G2LC1,Vicki Laflamme,Won,GTX Plus Basic,6/28/17,9/7/17,1211
Scotfind,8FX574BJ,Vicki Laflamme,Won,GTXPro,6/28/17,7/3/17,4264
Faxquote,AU5Q1XCW,Vicki Laflamme,Won,MG Advanced,6/28/17,9/9/17,3104
Nam-zim,SZAMHBGA,Violet Mclelland,In Progress,MG Advanced,6/28/17,,
Gekko & Co,CUMYWQYP,Violet Mclelland,Won,MG Special,6/28/17,9/30/17,56
Betatech,29ZDUK49,Anna Snelling,Won,GTX Plus Basic,6/29/17,7/10/17,1047
Iselectrics,VLVP8FPJ,Cassey Cress,Lost,MG Advanced,6/29/17,7/8/17,0
,ZD1X3R4G,Corliss Cosme,In Progress,GTX Plus Basic,6/29/17,,
Statholdings,SNGS64S7,Darcel Schlecht,Lost,GTXPro,6/29/17,7/6/17,0
Warephase,CMCVD0N8,Darcel Schlecht,Won,GTXPro,6/29/17,7/8/17,5321
Globex Corporation,NNKWGFDH,Darcel Schlecht,Won,MG Special,6/29/17,7/6/17,57
Kan-code,YC6QEUJN,Garret Kinder,Won,GTX Plus Basic,6/29/17,7/8/17,950
Mathtouch,794XWMYE,Garret Kinder,Won,MG Special,6/29/17,9/7/17,61
Xx-zobam,FHK0BBGK,Garret Kinder,Won,MG Special,6/29/17,7/8/17,62
Isdom,461LIUS7,Gladys Colclough,Won,GTX Plus Basic,6/29/17,7/7/17,1105
Ron-tech,Y9SCLUH8,Jonathan Berthelot,Won,GTX Plus Basic,6/29/17,9/2/17,835
Rantouch,J75Y9C75,Kami Bicknell,Won,GTX Plus Basic,6/29/17,8/28/17,1104
Kan-code,PUP6JDT9,Kami Bicknell,Won,MG Advanced,6/29/17,9/12/17,3464
,EMUG64GW,Kary Hendrixson,In Progress,GTX Basic,6/29/17,,
Sonron,88AA2RK1,Kary Hendrixson,Lost,GTX Basic,6/29/17,7/6/17,0
Scottech,4F222JU9,Lajuana Vencill,Lost,MG Special,6/29/17,8/31/17,0
Streethex,CBYRECX6,Lajuana Vencill,Lost,MG Advanced,6/29/17,7/6/17,0
,XYRO1TLJ,Markita Hansen,In Progress,GTXPro,6/29/17,,
Hottechi,QXT65QTI,Markita Hansen,Lost,GTX Basic,6/29/17,7/10/17,0
Condax,8RTR1VMP,Markita Hansen,Lost,MG Special,6/29/17,7/6/17,0
Singletechno,T7RA32XV,Markita Hansen,Lost,MG Special,6/29/17,7/6/17,0
Dalttechnology,8IYVJKT4,Maureen Marcano,Lost,GTXPro,6/29/17,7/10/17,0
Rundofase,G087QT6R,Moses Frase,Won,MG Advanced,6/29/17,7/6/17,3676
Konmatfix,JT1UUOXN,Niesha Huffines,Lost,GTXPro,6/29/17,7/8/17,0
Treequote,PUTILZZG,Niesha Huffines,Won,GTX Basic,6/29/17,8/9/17,568
Plussunin,QU7MSL36,Reed Clapper,Won,GTXPro,6/29/17,7/9/17,4837
Sonron,FEGSJ8QI,Rosalina Dieter,Won,GTXPro,6/29/17,8/19/17,4936
Groovestreet,1SKIPYI7,Rosalina Dieter,Won,MG Special,6/29/17,9/3/17,55
Konmatfix,66Q03Q2P,Versie Hillebrand,Won,GTX Basic,6/29/17,7/10/17,466
,T4FR3FAC,Vicki Laflamme,In Progress,MG Advanced,6/29/17,,
Finjob,Z1NWKS9A,Vicki Laflamme,Lost,MG Special,6/29/17,7/5/17,0
Newex,ZZCKQ2JV,Vicki Laflamme,Won,GTXPro,6/29/17,7/4/17,4856
Plexzap,F3G00C56,Vicki Laflamme,Won,MG Advanced,6/29/17,7/8/17,3562
Mathtouch,9824T94P,Violet Mclelland,Won,GTXPro,6/29/17,7/9/17,5159
Kinnamplus,B8TD9HCN,Violet Mclelland,Won,MG Advanced,6/29/17,7/11/17,3172
Kinnamplus,PEFTXK4Q,Wilburn Farren,Won,MG Advanced,6/29/17,9/10/17,3350
Goodsilron,LUIEQRMQ,Zane Levy,Won,GTX Basic,6/29/17,7/10/17,595
Betatech,8QOUXQEV,Anna Snelling,Won,GTX Basic,6/30/17,9/27/17,560
,BMH2FEGF,Boris Faz,In Progress,GTX Plus Basic,6/30/17,,
Yearin,6SC26SGG,Boris Faz,Won,GTX Plus Basic,6/30/17,7/2/17,1167
Initech,GITEQ8VZ,Cassey Cress,Lost,GTX Plus Pro,6/30/17,7/10/17,0
Betasoloin,2Y9R7T2W,Cassey Cress,Won,MG Advanced,6/30/17,9/26/17,3280
Genco Pura Olive Oil Company,8U5GBXK1,Cecily Lampkin,Won,MG Advanced,6/30/17,9/15/17,3427
Silis,THI3LNT0,Corliss Cosme,Lost,GTX Basic,6/30/17,7/12/17,0
Plussunin,KTLIR2ZX,Daniell Hammack,Lost,GTX Plus Basic,6/30/17,7/8/17,0
Iselectrics,G2EECJNG,Daniell Hammack,Won,GTX Plus Basic,6/30/17,9/27/17,940
Warephase,UZN5JBF3,Darcel Schlecht,Won,GTX Basic,6/30/17,9/29/17,565
Conecom,2CZVRGQ4,Darcel Schlecht,Won,GTXPro,6/30/17,7/6/17,4749
Labdrill,K5D2IP27,Elease Gluck,Won,MG Special,6/30/17,7/9/17,51
Statholdings,PTKOWYW6,Gladys Colclough,Lost,MG Special,6/30/17,8/28/17,0
,3T23AW36,James Ascencio,In Progress,GTX Plus Basic,6/30/17,,
Y-corporation,G3DIX74Y,James Ascencio,Lost,GTXPro,6/30/17,7/8/17,0
Warephase,4F8MNVNP,Jonathan Berthelot,Lost,GTX Basic,6/30/17,7/7/17,0
Doncon,7UL8T1BZ,Markita Hansen,Lost,MG Special,6/30/17,7/1/17,0
Konmatfix,4HP16LRH,Marty Freudenburg,Won,MG Advanced,6/30/17,7/9/17,3699
Cheers,MNTHSHH6,Maureen Marcano,Won,GTX Plus Pro,6/30/17,7/7/17,5909
Condax,Q7C5MJ4W,Moses Frase,Lost,GTX Basic,6/30/17,11/1/17,0
Dontechi,ON9H54WD,Niesha Huffines,Lost,GTXPro,6/30/17,7/1/17,0
Condax,8M3H9UME,Reed Clapper,Lost,GTX Plus Pro,6/30/17,7/7/17,0
Massive Dynamic,5J1C46RJ,Reed Clapper,Won,GTX Plus Pro,6/30/17,9/19/17,5927
Bluth Company,0BSYDRMT,Reed Clapper,Won,MG Special,6/30/17,9/18/17,60
Zencorporation,NKERC6IA,Reed Clapper,Won,MG Advanced,6/30/17,7/11/17,3351
Nam-zim,H6AN87LE,Rosalina Dieter,Won,MG Special,6/30/17,7/9/17,64
Donquadtech,1SSFC7XZ,Rosie Papadopoulos,Lost,MG Advanced,6/30/17,7/2/17,0
dambase,0XK80WX8,Versie Hillebrand,Won,MG Special,6/30/17,7/11/17,47
Dontechi,X4ARE2PT,Versie Hillebrand,Won,MG Special,6/30/17,7/1/17,53
Y-corporation,KCIFANLK,Vicki Laflamme,Lost,GTX Basic,6/30/17,7/12/17,0
Acme Corporation,J7U29ZM5,Violet Mclelland,Lost,GTX Basic,6/30/17,9/23/17,0
Streethex,JUHQ1POT,Boris Faz,In Progress,GTX Plus Basic,7/1/17,,
Acme Corporation,3KVXBQ5V,Boris Faz,Lost,GTX Plus Basic,7/1/17,8/15/17,0
Globex Corporation,7T9J42UX,Cecily Lampkin,Won,GTX Plus Pro,7/1/17,7/11/17,4391
,FOJG3OCO,Corliss Cosme,In Progress,GTX Plus Pro,7/1/17,,
,04SCU6DK,Corliss Cosme,In Progress,MG Advanced,7/1/17,,
Statholdings,2J649YC5,Darcel Schlecht,Won,GTX Plus Basic,7/1/17,7/11/17,1308
Rangreen,9N66Q1VO,Darcel Schlecht,Won,GTXPro,7/1/17,9/23/17,4888
Condax,ZWXKCHOO,Donn Cantrell,Won,GTX Basic,7/1/17,9/25/17,535
Dalttechnology,I8OUZNDS,Elease Gluck,Lost,GTX Plus Pro,7/1/17,11/3/17,0
Betasoloin,CJZLM3WA,Garret Kinder,Lost,MG Special,7/1/17,9/16/17,0
Isdom,4QTD5X53,Gladys Colclough,Won,MG Advanced,7/1/17,7/6/17,3252
,AR33M33M,Hayden Neloms,In Progress,GTX Plus Basic,7/1/17,,
Hottechi,LQXWWZGN,Jonathan Berthelot,Lost,GTX Basic,7/1/17,7/3/17,0
Toughzap,NT510FGZ,Jonathan Berthelot,Lost,MG Special,7/1/17,8/27/17,0
Scottech,2IQ0ZY9W,Jonathan Berthelot,Won,GTX Basic,7/1/17,7/11/17,574
Codehow,N3TUSU37,Jonathan Berthelot,Won,GTX Plus Basic,7/1/17,8/11/17,1012
Dalttechnology,VSYO182N,Kary Hendrixson,In Progress,GTXPro,7/1/17,,
Dalttechnology,O6LVMQ5R,Kary Hendrixson,Won,GTX Basic,7/1/17,7/7/17,576
Isdom,072ELFQF,Lajuana Vencill,Lost,MG Advanced,7/1/17,7/3/17,0
Sonron,CDFKC6E0,Markita Hansen,Lost,MG Special,7/1/17,7/3/17,0
Hottechi,Z005FB1N,Markita Hansen,Lost,MG Advanced,7/1/17,7/8/17,0
J-Texon,LYAFXO9B,Markita Hansen,Won,GTX Basic,7/1/17,7/12/17,592
Doncon,SNY2UWJ2,Markita Hansen,Won,GTXPro,7/1/17,7/9/17,4859
Green-Plus,UFIAFP10,Markita Hansen,Won,MG Special,7/1/17,7/2/17,50
Konex,MG7CZFIG,Markita Hansen,Won,MG Advanced,7/1/17,9/30/17,3225
Stanredtax,H4U50AEW,Marty Freudenburg,Won,GTX Plus Pro,7/1/17,7/9/17,5422
Domzoom,8PU9FIQS,Marty Freudenburg,Won,MG Advanced,7/1/17,7/11/17,3657
Fasehatice,FBQN3UM3,Maureen Marcano,Lost,GTX Plus Basic,7/1/17,7/7/17,0
Goodsilron,MJ12SZ89,Maureen Marcano,Won,GTX Plus Pro,7/1/17,7/10/17,4974
Lexiqvolax,B6F9PSRN,Maureen Marcano,Won,GTXPro,7/1/17,8/7/17,4689
Toughzap,RLDIPPFT,Niesha Huffines,Lost,GTX Plus Basic,7/1/17,7/10/17,0
Warephase,TKKSOBRC,Niesha Huffines,Won,MG Special,7/1/17,7/12/17,50
Mathtouch,FCWU08BA,Reed Clapper,Lost,GTXPro,7/1/17,7/3/17,0
Kan-code,AX63HIS9,Reed Clapper,Won,GTXPro,7/1/17,8/23/17,4611
,BCA6Y34B,Rosie Papadopoulos,In Progress,MG Advanced,7/1/17,,
Stanredtax,1F8MPXZQ,Versie Hillebrand,Lost,MG Advanced,7/1/17,7/13/17,0
,H9N9DP3D,Vicki Laflamme,In Progress,GTX Basic,7/1/17,,
Kan-code,YY3ACGA2,Vicki Laflamme,Won,GTX Basic,7/1/17,7/11/17,571
Umbrella Corporation,6MQA3YYW,Violet Mclelland,Lost,MG Special,7/1/17,7/3/17,0
Betasoloin,IM5AGXLX,Wilburn Farren,Lost,GTX Plus Pro,7/1/17,8/6/17,0
Bioholding,313EIVW4,Anna Snelling,Lost,GTX Plus Basic,7/2/17,7/10/17,0
Stanredtax,NNAYAA7T,Anna Snelling,Lost,MG Advanced,7/2/17,7/13/17,0
Statholdings,019I751P,Anna Snelling,Won,GTX Plus Basic,7/2/17,7/9/17,1180
,WQAKXOYU,Boris Faz,In Progress,GTXPro,7/2/17,,
Vehement Capital Partners,5TRALM9T,Boris Faz,Lost,GTX Plus Pro,7/2/17,9/17/17,0
Bioplex,LWC0UJWD,Cassey Cress,Lost,GTX Basic,7/2/17,7/3/17,0
Zathunicon,PI0FYKXU,Cassey Cress,Won,GTX Plus Pro,7/2/17,7/4/17,5274
Rundofase,I7QSO0VZ,Cecily Lampkin,Won,GTX Basic,7/2/17,7/4/17,480
,HAUB1NBF,Corliss Cosme,In Progress,GTXPro,7/2/17,,
Ontomedia,5AU1SJA7,Corliss Cosme,Won,GTXPro,7/2/17,7/8/17,4830
Condax,Z9S1ZX7W,Daniell Hammack,In Progress,GTX Plus Basic,7/2/17,,
